symbol,entry_timing,sl_atr,tp_ladder,ratios,be_after_tp1,blofin_n,blofin_net,blofin_pf,blofin_dd,blofin_wr,blofin_oos_net,blofin_oos_pf,lighter_n,lighter_net,lighter_pf,lighter_dd,lighter_wr,lighter_oos_net,lighter_oos_pf,tp1_rate,tp3_rate
SOL-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",False,439,-5239.76,0.113,-5222.34,0.3349,-1757.4,0.075,439,-1288.77,0.67,-1366.14,0.5376,-569.61,0.549,0.538,0.025
SOL-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",False,113,-1204.61,0.157,-1189.12,0.4779,-303.07,0.211,113,-187.56,0.811,-264.0,0.5929,2.96,1.011,0.593,0.0
SOL-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",True,425,-5095.09,0.17,-5088.18,0.28,-1663.51,0.146,425,-1270.18,0.664,-1408.34,0.5271,-511.74,0.583,0.539,0.038
SOL-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",True,113,-1186.18,0.235,-1190.27,0.3363,-332.46,0.241,113,-169.12,0.83,-250.83,0.5841,-26.43,0.901,0.593,0.0
SOL-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",False,424,-4973.57,0.211,-4968.08,0.3679,-1652.25,0.167,424,-1157.63,0.711,-1331.83,0.4057,-500.47,0.61,0.538,0.042
SOL-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",False,113,-1114.43,0.306,-1118.53,0.4425,-325.88,0.317,113,-97.41,0.908,-209.33,0.4602,-19.9,0.933,0.593,0.009
SOL-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",True,412,-4950.19,0.225,-4968.0,0.2816,-1529.87,0.218,412,-1242.38,0.698,-1438.68,0.4806,-414.01,0.67,0.483,0.182
SOL-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",True,111,-1178.98,0.293,-1204.8,0.2973,-370.14,0.292,111,-180.05,0.837,-324.8,0.5315,-64.18,0.814,0.532,0.189
SOL-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",False,388,-4378.8,0.291,-4396.61,0.3093,-1454.81,0.245,388,-886.92,0.774,-1095.59,0.3711,-402.0,0.666,0.495,0.271
SOL-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",False,110,-1237.57,0.316,-1263.39,0.3182,-388.61,0.314,110,-247.63,0.785,-401.92,0.3364,-91.68,0.739,0.527,0.255
SOL-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",True,412,-4974.08,0.249,-5000.97,0.25,-1522.55,0.25,412,-1266.26,0.693,-1475.98,0.4612,-406.68,0.676,0.483,0.182
SOL-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",True,111,-1190.99,0.322,-1226.72,0.2703,-376.77,0.319,111,-192.08,0.826,-357.41,0.5225,-70.82,0.794,0.532,0.189
SOL-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",False,388,-4343.17,0.329,-4369.93,0.2912,-1466.07,0.279,388,-851.3,0.797,-1086.57,0.3711,-413.26,0.682,0.495,0.271
SOL-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",False,110,-1264.3,0.347,-1306.57,0.3,-407.7,0.338,110,-274.37,0.785,-452.28,0.3364,-110.79,0.723,0.527,0.255
SOL-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.6, 0.2, 0.2)",True,412,-4935.26,0.212,-4947.48,0.3034,-1534.44,0.199,412,-1227.45,0.702,-1415.36,0.483,-418.59,0.666,0.483,0.182
SOL-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.6, 0.2, 0.2)",True,111,-1171.47,0.279,-1191.1,0.3514,-365.99,0.28,111,-172.53,0.844,-304.42,0.5315,-60.03,0.826,0.532,0.189
SOL-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.6, 0.2, 0.2)",False,388,-4401.06,0.266,-4413.28,0.3222,-1447.78,0.223,388,-909.18,0.762,-1104.03,0.482,-394.97,0.661,0.495,0.271
SOL-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.6, 0.2, 0.2)",False,110,-1220.87,0.295,-1240.49,0.3364,-376.68,0.298,110,-230.92,0.791,-370.44,0.5182,-79.74,0.76,0.527,0.255
SOL-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(1.0, 0.0, 0.0)",True,431,-5047.32,0.201,-5037.17,0.4223,-1674.41,0.152,431,-1168.53,0.727,-1358.73,0.4849,-504.62,0.624,0.485,0.026
SOL-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(1.0, 0.0, 0.0)",True,113,-1130.75,0.284,-1128.23,0.4956,-349.4,0.297,113,-113.75,0.897,-210.65,0.5398,-43.42,0.874,0.54,0.0
SOL-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(1.0, 0.0, 0.0)",False,431,-5047.32,0.201,-5037.17,0.4223,-1674.41,0.152,431,-1168.53,0.727,-1358.73,0.4849,-504.62,0.624,0.485,0.026
SOL-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(1.0, 0.0, 0.0)",False,113,-1130.75,0.284,-1128.23,0.4956,-349.4,0.297,113,-113.75,0.897,-210.65,0.5398,-43.42,0.874,0.54,0.0
SOL-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",True,419,-4956.0,0.236,-4976.14,0.2983,-1611.97,0.202,419,-1185.15,0.717,-1405.94,0.4797,-478.14,0.633,0.482,0.069
SOL-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",True,113,-1165.51,0.303,-1181.01,0.3097,-371.06,0.29,113,-148.55,0.866,-280.63,0.5398,-65.1,0.811,0.54,0.044
SOL-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",False,415,-4800.56,0.283,-4824.49,0.3518,-1609.62,0.23,415,-1065.67,0.752,-1326.47,0.3566,-484.85,0.634,0.48,0.082
SOL-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",False,112,-1207.04,0.333,-1222.53,0.3482,-418.23,0.288,112,-199.05,0.827,-354.68,0.3482,-112.29,0.69,0.536,0.054
SOL-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.25, 0.25)",True,390,-4395.75,0.326,-4452.76,0.2949,-1365.41,0.315,390,-885.82,0.796,-1102.87,0.4154,-312.55,0.764,0.415,0.131
SOL-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.25, 0.25)",True,110,-1161.68,0.365,-1255.73,0.3273,-414.02,0.281,110,-171.75,0.864,-409.7,0.4545,-117.11,0.708,0.455,0.109
SOL-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.25, 0.25)",False,357,-3960.07,0.365,-4015.17,0.2605,-1308.82,0.324,357,-747.16,0.812,-1009.84,0.3978,-336.96,0.724,0.415,0.182
SOL-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.25, 0.25)",False,106,-1286.99,0.335,-1352.71,0.2453,-417.4,0.322,106,-333.09,0.737,-533.71,0.434,-129.52,0.677,0.434,0.132
SOL-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.34, 0.33, 0.33)",True,390,-4429.26,0.342,-4502.19,0.241,-1360.35,0.34,390,-919.31,0.789,-1127.02,0.4128,-307.45,0.768,0.415,0.131
SOL-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.34, 0.33, 0.33)",True,110,-1206.74,0.365,-1321.84,0.2455,-441.47,0.27,110,-216.84,0.829,-475.82,0.4545,-144.56,0.639,0.455,0.109
SOL-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.34, 0.33, 0.33)",False,357,-3980.0,0.396,-4050.01,0.2521,-1328.97,0.351,357,-767.08,0.819,-1046.79,0.2717,-357.09,0.727,0.415,0.182
SOL-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.34, 0.33, 0.33)",False,106,-1350.04,0.347,-1433.93,0.2358,-441.24,0.329,106,-396.17,0.709,-614.94,0.2642,-153.36,0.646,0.434,0.132
SOL-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.6, 0.2, 0.2)",True,390,-4374.8,0.322,-4421.87,0.3436,-1368.58,0.304,390,-864.89,0.801,-1089.65,0.4154,-315.73,0.762,0.415,0.131
SOL-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.6, 0.2, 0.2)",True,110,-1133.51,0.374,-1215.72,0.4182,-396.86,0.306,110,-143.56,0.886,-368.37,0.4545,-99.95,0.751,0.455,0.109
SOL-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.6, 0.2, 0.2)",False,357,-3947.62,0.347,-3993.39,0.2885,-1296.22,0.306,357,-734.71,0.815,-986.74,0.4146,-324.37,0.734,0.415,0.182
SOL-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.6, 0.2, 0.2)",False,106,-1247.58,0.329,-1303.26,0.2925,-402.5,0.317,106,-293.67,0.768,-482.94,0.434,-114.62,0.714,0.434,0.132
SOL-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(1.0, 0.0, 0.0)",True,424,-4871.68,0.317,-4880.17,0.3986,-1601.42,0.27,424,-1055.81,0.783,-1321.81,0.4057,-449.66,0.699,0.406,0.002
SOL-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(1.0, 0.0, 0.0)",True,113,-1024.26,0.441,-1067.44,0.4602,-348.68,0.411,113,-7.26,0.994,-223.2,0.4602,-42.76,0.896,0.46,0.0
SOL-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(1.0, 0.0, 0.0)",False,424,-4871.68,0.317,-4880.17,0.3986,-1601.42,0.27,424,-1055.81,0.783,-1321.81,0.4057,-449.66,0.699,0.406,0.002
SOL-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(1.0, 0.0, 0.0)",False,113,-1024.26,0.441,-1067.44,0.4602,-348.68,0.411,113,-7.26,0.994,-223.2,0.4602,-42.76,0.896,0.46,0.0
SOL-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.5, 0.0)",True,403,-4592.89,0.331,-4629.34,0.2928,-1428.68,0.312,403,-966.02,0.79,-1211.76,0.4094,-339.82,0.755,0.409,0.01
SOL-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.5, 0.0)",True,111,-1098.31,0.409,-1200.26,0.3243,-367.35,0.384,111,-99.41,0.923,-340.53,0.4505,-61.46,0.851,0.45,0.027
SOL-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.5, 0.0)",False,388,-4374.19,0.361,-4410.65,0.268,-1447.37,0.316,388,-882.32,0.799,-1126.49,0.4046,-394.54,0.705,0.42,0.01
SOL-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.5, 0.0)",False,110,-1202.38,0.394,-1290.19,0.2545,-379.07,0.392,110,-212.49,0.835,-432.93,0.4455,-82.19,0.795,0.445,0.027
SOL-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.25, 0.25)",True,420,-5025.25,0.108,-5016.61,0.2238,-1617.55,0.085,420,-1245.2,0.614,-1385.2,0.5738,-483.74,0.533,0.61,0.231
SOL-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.25, 0.25)",True,113,-1297.59,0.116,-1292.43,0.2212,-374.11,0.118,113,-280.56,0.679,-309.14,0.6283,-68.1,0.71,0.637,0.212
SOL-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.25, 0.25)",False,415,-4955.37,0.147,-4945.22,0.306,-1621.45,0.111,415,-1220.39,0.652,-1376.52,0.4771,-496.66,0.549,0.607,0.357
SOL-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.25, 0.25)",False,112,-1257.02,0.187,-1251.86,0.3125,-382.87,0.183,112,-249.01,0.736,-314.04,0.5357,-76.89,0.713,0.634,0.348
SOL-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.34, 0.33, 0.33)",True,420,-4991.34,0.141,-4990.65,0.2357,-1604.56,0.117,420,-1211.3,0.631,-1373.73,0.4381,-470.76,0.552,0.61,0.231
SOL-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.34, 0.33, 0.33)",True,113,-1295.15,0.148,-1296.6,0.2389,-382.62,0.144,113,-278.13,0.686,-316.13,0.4779,-76.61,0.68,0.637,0.212
SOL-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.34, 0.33, 0.33)",False,415,-4905.83,0.193,-4901.64,0.3277,-1617.66,0.152,415,-1170.88,0.685,-1359.25,0.4675,-492.88,0.575,0.607,0.357
SOL-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.34, 0.33, 0.33)",False,112,-1241.03,0.238,-1242.47,0.3393,-394.19,0.222,112,-233.02,0.766,-319.13,0.5268,-88.22,0.698,0.634,0.348
SOL-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.6, 0.2, 0.2)",True,420,-5046.44,0.087,-5033.23,0.2119,-1625.66,0.065,420,-1266.39,0.607,-1392.59,0.6024,-491.85,0.525,0.61,0.231
SOL-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.6, 0.2, 0.2)",True,113,-1299.11,0.096,-1289.82,0.2212,-368.79,0.101,113,-282.08,0.677,-304.77,0.6283,-62.78,0.733,0.637,0.212
SOL-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.6, 0.2, 0.2)",False,415,-4986.33,0.116,-4973.12,0.2867,-1623.81,0.086,415,-1251.33,0.629,-1387.31,0.4795,-499.02,0.531,0.607,0.357
SOL-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.6, 0.2, 0.2)",False,112,-1267.01,0.153,-1257.72,0.3125,-375.8,0.155,112,-259.0,0.716,-310.85,0.5357,-69.81,0.724,0.634,0.348
SOL-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(1.0, 0.0, 0.0)",True,451,-5541.97,0.028,-5517.55,0.1286,-1770.78,0.015,451,-1482.92,0.573,-1547.63,0.6053,-546.93,0.5,0.605,0.075
SOL-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(1.0, 0.0, 0.0)",True,114,-1301.46,0.039,-1276.21,0.193,-343.77,0.063,114,-275.42,0.685,-303.48,0.6404,-28.75,0.878,0.64,0.061
SOL-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(1.0, 0.0, 0.0)",False,451,-5541.97,0.028,-5517.55,0.1286,-1770.78,0.015,451,-1482.92,0.573,-1547.63,0.6053,-546.93,0.5,0.605,0.075
SOL-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(1.0, 0.0, 0.0)",False,114,-1301.46,0.039,-1276.21,0.193,-343.77,0.063,114,-275.42,0.685,-303.48,0.6404,-28.75,0.878,0.64,0.061
SOL-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.5, 0.0)",True,432,-5143.24,0.087,-5125.82,0.2431,-1649.59,0.056,432,-1255.26,0.618,-1372.48,0.5764,-479.79,0.537,0.611,0.088
SOL-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.5, 0.0)",True,113,-1262.39,0.117,-1246.9,0.3451,-359.0,0.13,113,-245.34,0.72,-265.58,0.6283,-52.98,0.775,0.637,0.062
SOL-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.5, 0.0)",False,431,-5140.51,0.104,-5123.09,0.3016,-1671.47,0.068,431,-1261.59,0.649,-1385.78,0.4849,-501.66,0.556,0.61,0.1
SOL-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.5, 0.0)",False,113,-1217.97,0.149,-1202.49,0.4425,-348.45,0.172,113,-200.96,0.787,-242.59,0.5398,-42.46,0.842,0.637,0.071
SOL-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",True,402,-4824.29,0.196,-4872.23,0.2687,-1354.93,0.212,402,-1206.19,0.693,-1400.09,0.6169,-266.03,0.761,0.629,0.194
SOL-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",True,113,-1200.3,0.258,-1208.31,0.3451,-404.83,0.195,113,-183.2,0.836,-284.13,0.6637,-98.81,0.709,0.673,0.204
SOL-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",False,347,-4052.78,0.271,-4105.61,0.3429,-1186.1,0.263,347,-929.67,0.751,-1116.43,0.5014,-241.23,0.769,0.64,0.337
SOL-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",False,106,-1011.77,0.383,-1019.78,0.3585,-319.79,0.38,106,-57.75,0.949,-228.37,0.566,-31.83,0.909,0.679,0.358
SOL-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",True,402,-4853.33,0.229,-4911.82,0.2637,-1351.81,0.25,402,-1235.24,0.687,-1443.6,0.5299,-262.91,0.764,0.629,0.194
SOL-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",True,113,-1194.49,0.296,-1212.42,0.3274,-418.49,0.216,113,-177.4,0.842,-302.88,0.6283,-112.47,0.669,0.673,0.204
SOL-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",False,347,-4053.33,0.32,-4118.94,0.3314,-1206.96,0.309,347,-930.23,0.769,-1138.15,0.4986,-262.09,0.77,0.64,0.337
SOL-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",False,106,-977.16,0.445,-995.09,0.3585,-313.86,0.436,106,-23.17,0.981,-242.0,0.5566,-25.91,0.931,0.679,0.358
SOL-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",True,402,-4806.14,0.177,-4847.48,0.2985,-1356.87,0.188,402,-1188.04,0.697,-1373.24,0.6294,-267.98,0.759,0.629,0.194
SOL-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",True,113,-1203.93,0.234,-1205.75,0.3628,-396.29,0.182,113,-186.83,0.833,-272.41,0.6726,-90.27,0.734,0.673,0.204
SOL-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",False,347,-4052.43,0.238,-4097.28,0.3516,-1173.07,0.231,347,-929.32,0.739,-1102.86,0.5014,-228.19,0.769,0.64,0.337
SOL-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",False,106,-1033.39,0.34,-1035.2,0.3774,-323.51,0.342,106,-79.36,0.926,-219.86,0.566,-35.53,0.893,0.679,0.358
SOL-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",True,429,-5003.16,0.132,-5018.13,0.3963,-1446.96,0.118,429,-1141.99,0.725,-1273.7,0.6294,-286.07,0.757,0.629,0.028
SOL-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",True,113,-1218.46,0.175,-1195.49,0.5487,-362.15,0.191,113,-201.34,0.82,-233.21,0.6726,-56.12,0.835,0.673,0.0
SOL-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",False,429,-5003.16,0.132,-5018.13,0.3963,-1446.96,0.118,429,-1141.99,0.725,-1273.7,0.6294,-286.07,0.757,0.629,0.028
SOL-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",False,113,-1218.46,0.175,-1195.49,0.5487,-362.15,0.191,113,-201.34,0.82,-233.21,0.6726,-56.12,0.835,0.673,0.0
SOL-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",True,415,-4995.21,0.188,-5026.66,0.3157,-1449.53,0.19,415,-1260.16,0.689,-1431.82,0.6169,-324.73,0.723,0.629,0.041
SOL-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",True,113,-1168.1,0.274,-1164.72,0.3982,-384.76,0.233,113,-150.97,0.865,-216.72,0.6637,-78.73,0.768,0.673,0.009
SOL-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",False,408,-4887.19,0.237,-4920.06,0.4461,-1493.21,0.211,408,-1215.01,0.73,-1402.95,0.4853,-386.4,0.707,0.625,0.047
SOL-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",False,113,-1094.51,0.349,-1091.12,0.531,-359.0,0.33,113,-77.43,0.937,-187.2,0.5575,-53.04,0.861,0.673,0.018
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",True,400,-4777.69,0.262,-4856.95,0.335,-1295.36,0.291,400,-1177.51,0.739,-1431.76,0.5675,-215.39,0.827,0.57,0.22
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",True,111,-1132.31,0.348,-1150.65,0.3604,-419.2,0.281,111,-133.29,0.893,-327.4,0.6216,-113.24,0.732,0.622,0.225
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",False,347,-3986.09,0.33,-4060.89,0.3631,-1213.73,0.312,347,-862.93,0.792,-1098.41,0.4438,-268.84,0.776,0.585,0.337
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",False,106,-990.77,0.446,-1009.1,0.3962,-359.05,0.405,106,-36.76,0.971,-219.32,0.4623,-71.1,0.834,0.632,0.358
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",True,400,-4791.56,0.289,-4890.09,0.3,-1292.98,0.326,400,-1191.37,0.737,-1454.66,0.545,-212.99,0.829,0.57,0.22
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",True,111,-1135.53,0.38,-1163.78,0.3333,-426.55,0.305,111,-136.53,0.891,-364.26,0.6036,-120.6,0.714,0.622,0.225
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",False,347,-3989.46,0.37,-4085.71,0.3545,-1238.95,0.347,347,-866.31,0.806,-1126.38,0.4438,-294.06,0.777,0.585,0.337
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",False,106,-977.77,0.492,-1006.02,0.3679,-352.92,0.451,106,-23.78,0.983,-252.48,0.4623,-64.99,0.859,0.632,0.358
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.6, 0.2, 0.2)",True,400,-4769.01,0.247,-4836.25,0.36,-1296.84,0.269,400,-1168.84,0.741,-1417.45,0.57,-216.89,0.826,0.57,0.22
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.6, 0.2, 0.2)",True,111,-1130.31,0.33,-1142.45,0.4234,-414.6,0.27,111,-131.27,0.895,-304.37,0.6216,-108.64,0.743,0.622,0.225
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.6, 0.2, 0.2)",False,347,-3983.98,0.304,-4045.37,0.3775,-1197.96,0.289,347,-860.82,0.781,-1086.46,0.4438,-253.08,0.775,0.585,0.337
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.6, 0.2, 0.2)",False,106,-998.89,0.415,-1011.03,0.4151,-362.88,0.374,106,-44.87,0.962,-211.43,0.4623,-74.93,0.816,0.632,0.358
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(1.0, 0.0, 0.0)",True,419,-4872.01,0.232,-4898.23,0.5036,-1410.66,0.222,419,-1100.86,0.765,-1359.8,0.5728,-276.83,0.794,0.573,0.029
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(1.0, 0.0, 0.0)",True,113,-1111.57,0.321,-1101.57,0.5752,-396.22,0.289,113,-94.47,0.924,-224.1,0.6283,-90.23,0.786,0.628,0.0
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(1.0, 0.0, 0.0)",False,419,-4872.01,0.232,-4898.23,0.5036,-1410.66,0.222,419,-1100.86,0.765,-1359.8,0.5728,-276.83,0.794,0.573,0.029
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(1.0, 0.0, 0.0)",False,113,-1111.57,0.321,-1101.57,0.5752,-396.22,0.289,113,-94.47,0.924,-224.1,0.6283,-90.23,0.786,0.628,0.0
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",True,407,-4818.02,0.27,-4901.48,0.3514,-1437.92,0.264,407,-1154.77,0.75,-1419.81,0.5651,-331.0,0.754,0.568,0.076
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",True,113,-1112.93,0.36,-1120.95,0.3717,-402.27,0.31,113,-95.88,0.923,-297.14,0.6283,-96.3,0.772,0.628,0.053
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",False,393,-4740.21,0.313,-4818.92,0.4224,-1506.5,0.281,393,-1202.97,0.753,-1506.39,0.4275,-444.68,0.695,0.56,0.092
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",False,111,-1045.55,0.438,-1053.57,0.4595,-414.7,0.361,111,-46.53,0.965,-250.42,0.4595,-108.74,0.764,0.631,0.063
SOL-USDT,signal,1.5,"(1.5, 3.0, 5.0)","(0.5, 0.25, 0.25)",True,371,-4315.32,0.355,-4434.68,0.3639,-1320.71,0.344,371,-976.13,0.8,-1273.12,0.4987,-312.79,0.786,0.499,0.154
SOL-USDT,retest,1.5,"(1.5, 3.0, 5.0)","(0.5, 0.25, 0.25)",True,110,-1150.69,0.416,-1208.73,0.3818,-459.57,0.264,110,-160.76,0.892,-400.18,0.5455,-162.68,0.657,0.545,0.136
SOL-USDT,signal,1.5,"(1.5, 3.0, 5.0)","(0.5, 0.25, 0.25)",False,302,-3440.9,0.41,-3562.33,0.3245,-1122.0,0.353,302,-722.87,0.822,-981.88,0.3477,-303.11,0.742,0.5,0.228
SOL-USDT,retest,1.5,"(1.5, 3.0, 5.0)","(0.5, 0.25, 0.25)",False,100,-983.87,0.494,-1058.47,0.34,-328.56,0.458,100,-83.99,0.939,-307.96,0.36,-58.7,0.862,0.55,0.22
SOL-USDT,signal,1.5,"(1.5, 3.0, 5.0)","(0.34, 0.33, 0.33)",True,371,-4364.4,0.37,-4505.04,0.2911,-1329.8,0.364,371,-1025.18,0.79,-1317.28,0.496,-321.86,0.78,0.499,0.154
SOL-USDT,retest,1.5,"(1.5, 3.0, 5.0)","(0.34, 0.33, 0.33)",True,110,-1196.0,0.42,-1275.53,0.2818,-500.41,0.246,110,-206.1,0.861,-474.48,0.5364,-203.52,0.571,0.545,0.136
SOL-USDT,signal,1.5,"(1.5, 3.0, 5.0)","(0.34, 0.33, 0.33)",False,302,-3484.58,0.439,-3625.23,0.3179,-1189.61,0.368,302,-766.54,0.827,-1038.44,0.3477,-370.72,0.719,0.5,0.228
SOL-USDT,retest,1.5,"(1.5, 3.0, 5.0)","(0.34, 0.33, 0.33)",False,100,-1018.54,0.513,-1116.61,0.34,-348.53,0.465,100,-118.7,0.921,-374.8,0.36,-78.68,0.833,0.55,0.22
